"campaignid","sample","family","genus","species","length","fb.length_max","fb.ltypemaxm","percent.error"
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB352","Labridae","Cirrhilabrus","temminckii",143.15235,116,"FL",23.4071982758621
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB126","Carangidae","Atule","mate",369.59633,300,"TL",23.1987766666667
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB394","Labridae","Cirrhilabrus","morrisoni",67.5274,55,"SL",22.7770909090909
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB258","Tetraodontidae","Feroxodon","multistriatus",478.55889,390,"TL",22.7074076923077
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB298","Pomacanthidae","Pomacanthus","semicirculatus",490.10443,400,"SL",22.5261075
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1548","Pomacentridae","Abudefduf","bengalensis",220.32894,180,"TL",22.4049666666667
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1523","Carangidae","Atule","mate",366.85185,300,"TL",22.28395
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB402","Lethrinidae","Lethrinus","laticaudis",683.73693,560,"TL",22.0958803571429
"2015-01_Montebello.transect_stereoBRUVs","NCB683","Labridae","Anampses","lennardi",341.57759,280,"TL",21.9919964285714
"2015-01_Montebello.transect_stereoBRUVs","NCB621","Tetraodontidae","Feroxodon","multistriatus",475.7416,390,"TL",21.9850256410256
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1327","Tetraodontidae","Feroxodon","multistriatus",475.14783,390,"TL",21.8327769230769
"2015-09_Dampier.Archipelago_stereoBRUVs","MNCB341","Tetraodontidae","Feroxodon","multistriatus",474.51499,390,"TL",21.6705102564103
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB371","Acanthuridae","Acanthurus","mata",607.95633,500,"TL",21.591266
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB12","Mullidae","Upeneus","tragula",303.91856,250,"TL",21.567424
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB281","Tetraodontidae","Feroxodon","multistriatus",473.42334,390,"TL",21.3906
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB261","Chaetodontidae","Chaetodon","kleinii",182.04846,150,"TL",21.36564
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB42","Labridae","Anampses","lennardi",339.79275,280,"TL",21.3545535714286
"2015-09_Dampier.transect_stereoBRUVs","NCB1487","Carangidae","Atule","mate",363.76656,300,"TL",21.25552
"2015-09_Dampier.transect_stereoBRUVs","NCB1540","Tetraodontidae","Lagocephalus","lunaris",545.44317,450,"SL",21.2095933333333
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB137","Scaridae","Scarus","rivulatus",484.63347,400,"SL",21.1583675
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB489","Tetraodontidae","Lagocephalus","lunaris",545.14925,450,"SL",21.1442777777778
"2015-09_Dampier.transect_stereoBRUVs","NCB1537","Tetraodontidae","Lagocephalus","lunaris",544.45308,450,"SL",20.9895733333333
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB340","Pomacentridae","Pomacentrus","coelestis",108.7895,90,"TL",20.8772222222222
"2015-09_Dampier.Archipelago_stereoBRUVs","MNCB331","Pomacentridae","Amblyglyphidodon","leucogaster",157.13513,130,"TL",20.8731769230769
